Hospital,Average_Billing,Total_Billing,Patient_Count
Adams-Valencia,20264.21424262133,20264.21424262133,1
Adams-Vazquez,33126.96002302482,33126.96002302482,1
Adams-Velasquez,6481.966282062389,6481.966282062389,1
Adams-Velez,31350.35509345363,31350.35509345363,1
Adams-Woods,6929.711674537008,6929.711674537008,1
Adkins Group,7361.438124217134,7361.438124217134,1
"Adkins Hale Mueller, and",31562.07963957429,31562.07963957429,1
Adkins Inc,27891.271437632553,55782.542875265106,2
"Adkins Knapp and Richards,",3470.7600334611084,3470.7600334611084,1
Adkins LLC,43841.3537408938,43841.3537408938,1
Adkins PLC,44660.886377644005,44660.886377644005,1
Adkins Sons and,21942.760639093805,43885.52127818761,2
"Adkins Torres Graves, and",41364.04143463318,41364.04143463318,1
"Adkins Wade Simmons, and",42071.0436111964,84142.0872223928,2
"Adkins, Garcia Pratt and",13204.247515823276,13204.247515823276,1
"Adkins, Guerrero and Kelly",2579.0055923767613,2579.0055923767613,1
"Adkins, Logan and Johnson",13069.809280613445,13069.809280613445,1
"Adkins, and Morrow Russo",41525.93402277889,41525.93402277889,1
Adkins-Avila,23284.176154268764,46568.35230853753,2
Adkins-Black,15876.243816516064,15876.243816516064,1
Adkins-Cantu,38421.23731954554,38421.23731954554,1
Adkins-Carter,15695.385216496925,15695.385216496925,1
Adkins-Cox,28559.161643420142,57118.323286840285,2
Adkins-Gonzalez,48237.39638741477,48237.39638741477,1
Adkins-Griffin,18795.188166792803,18795.188166792803,1
Adkins-Holmes,40338.76611635626,40338.76611635626,1
Adkins-Jackson,19309.054547116793,38618.10909423359,2
Adkins-Martin,20283.371399483098,20283.371399483098,1
Adkins-Scott,3852.410756471804,3852.410756471804,1
"Aguilar Adams, and Morrison",49348.81063989308,49348.81063989308,1
"Aguilar Aguilar Tyler, and",43835.12280703835,43835.12280703835,1
"Aguilar Cardenas and Frederick,",6611.762238907894,6611.762238907894,1
Aguilar Group,37990.32924845545,37990.32924845545,1
"Aguilar Guzman, and Pratt",31250.554347570924,31250.554347570924,1
Aguilar Inc,10408.423326301649,31225.269978904947,3
"Aguilar Kim and Baker,",7904.354340538893,7904.354340538893,1
"Aguilar Klein, Thompson and",2242.773718941319,2242.773718941319,1
"Aguilar Lawson and Joseph,",31374.310160836267,31374.310160836267,1
Aguilar Ltd,35044.85654087739,140179.42616350955,4
"Aguilar Miller, Allen and",35507.915624640445,35507.915624640445,1
"Aguilar Mullins and Schmidt,",27670.95200163641,27670.95200163641,1
Aguilar PLC,43241.48081257332,86482.96162514664,2
Aguilar Sons and,13945.102754290505,13945.102754290505,1
"Aguilar, Castaneda and Johnson",24132.34210081828,24132.34210081828,1
"Aguilar, Schwartz and Molina",34764.3673597801,69528.7347195602,2
"Aguilar, Spencer Sanders and",13913.054456194186,13913.054456194186,1
"Aguilar, and Dean Williams",25046.039385183376,50092.07877036675,2
"Aguilar, and Wilson Perez",35263.52787330262,35263.52787330262,1
Aguilar-Bass,14896.97500213013,14896.97500213013,1
Aguilar-Blake,4661.630299317257,4661.630299317257,1
Aguilar-Conley,38508.56458590128,38508.56458590128,1
Aguilar-Ellison,28219.33701729036,28219.33701729036,1
Aguilar-Freeman,44602.39096460846,44602.39096460846,1
Aguilar-Guzman,37666.97297468458,37666.97297468458,1
Aguilar-Harris,43502.0322283621,43502.0322283621,1
Aguilar-Hill,47819.38620596655,47819.38620596655,1
Aguilar-Howard,24049.26056308928,24049.26056308928,1
Aguilar-Leonard,25065.028364768023,25065.028364768023,1
Aguilar-Lopez,34859.71140288225,34859.71140288225,1
Aguilar-Lowery,44938.46370059752,44938.46370059752,1
Aguilar-Martinez,49735.31400604339,99470.62801208677,2
Aguilar-Moreno,30451.23586420147,30451.23586420147,1
Aguilar-Parsons,22218.528108086808,44437.056216173616,2
Aguilar-Pearson,44187.65250845714,88375.30501691428,2
Aguilar-Scott,24198.453802344757,24198.453802344757,1
Aguilar-Silva,9169.665987221686,9169.665987221686,1
Aguilar-Vega,23651.29838951585,23651.29838951585,1
Aguilar-Waller,28899.31330932221,28899.31330932221,1
"Aguirre Bell, and Ramsey",23923.28578032232,23923.28578032232,1
Aguirre Group,23524.265791525188,70572.79737457556,3
Aguirre LLC,28355.817615612665,113423.27046245066,4
Aguirre Ltd,36661.254546637676,109983.76363991303,3
"Aguirre Turner, Reed and",17197.143349978174,17197.143349978174,1
Aguirre-Christensen,50702.73856650449,50702.73856650449,1
Aguirre-Davis,14594.942781078978,29189.885562157957,2
Aguirre-Edwards,38846.53258875423,38846.53258875423,1
Aguirre-Graves,9082.931661852006,9082.931661852006,1
Aguirre-Pennington,48427.155822162735,96854.31164432547,2
Aguirre-Perkins,9004.860244555664,9004.860244555664,1
Aguirre-Pugh,50025.48595002324,50025.48595002324,1
Aguirre-Rodriguez,35487.83867902094,35487.83867902094,1
Aguirre-Sims,5367.369886690083,5367.369886690083,1
Aguirre-Wang,47399.62297983624,94799.24595967248,2
Aguirre-Williams,17139.18540098727,17139.18540098727,1
Alexander Group,26826.59981088506,107306.39924354025,4
"Alexander Hays, and Hernandez",32078.94696620128,32078.94696620128,1
Alexander Inc,22071.123667717056,44142.24733543411,2
Alexander Ltd,48385.8967939849,48385.8967939849,1
"Alexander Martinez, Love and",47267.18132984891,47267.18132984891,1
Alexander PLC,31088.642223184528,62177.284446369056,2
"Alexander Patton, Lowery and",39252.17654558961,39252.17654558961,1
"Alexander Simmons and Martinez,",14648.1731090729,14648.1731090729,1
"Alexander Turner, Stout and",32268.984239523284,32268.984239523284,1
"Alexander Wagner and Hill,",13919.857783314132,13919.857783314132,1
"Alexander Williams and Dixon,",24919.653962631062,24919.653962631062,1
"Alexander and Castillo, Mason",27773.27091855991,27773.27091855991,1
"Alexander and Graham Jennings,",40185.484031437525,40185.484031437525,1
"Alexander and Jensen Andrews,",3730.002190896625,3730.002190896625,1
"Alexander, Baker Howell and",27182.701381702867,27182.701381702867,1
"Alexander, Morris and Hayes",33418.30991219464,33418.30991219464,1
"Alexander, Schneider and Wilson",5702.770921415536,5702.770921415536,1
"Alexander, and Ewing Lopez",17672.310211744523,17672.310211744523,1
"Alexander, and Norris Williams",46475.60752091189,46475.60752091189,1
Alexander-Austin,16375.79813324777,32751.59626649554,2
Alexander-Bradley,5745.695423817769,5745.695423817769,1
Alexander-Brady,7885.137380422074,7885.137380422074,1
Alexander-Brooks,35969.447558831926,35969.447558831926,1
Alexander-Cantu,3666.835905366365,3666.835905366365,1
Alexander-Duncan,45523.8745912582,91047.7491825164,2
Alexander-Gallagher,42050.69408496628,42050.69408496628,1
Alexander-George,10320.157374724857,10320.157374724857,1
Alexander-Howard,26397.86004541292,52795.72009082584,2
Alexander-Lopez,37858.959099995154,37858.959099995154,1
Alexander-Manning,39849.78620078448,39849.78620078448,1
Alexander-Mcdaniel,14465.143560720133,14465.143560720133,1
Alexander-Middleton,38397.02332217552,76794.04664435104,2
Alexander-Moore,27054.111425974657,54108.222851949315,2
Alexander-Murphy,24562.011307460576,24562.011307460576,1
Alexander-Nichols,14076.60265811342,14076.60265811342,1
Alexander-Oconnor,41150.19068714818,41150.19068714818,1
Alexander-Sanchez,45713.63567265297,45713.63567265297,1
Alexander-Saunders,12646.91879665464,12646.91879665464,1
Alexander-Silva,29527.81172194658,29527.81172194658,1
Alexander-Smith,4164.7242657867,8329.4485315734,2
Alexander-Snyder,26222.831906356,26222.831906356,1
Alexander-Soto,6967.802611187323,6967.802611187323,1
Alexander-Stone,20880.337590454637,41760.675180909275,2
Alexander-Villa,6240.272939476931,6240.272939476931,1
Alexander-Walker,50102.68090356146,50102.68090356146,1
Alexander-White,24371.00618532688,24371.00618532688,1
"Ali Fischer and Howe,",37643.65313078171,37643.65313078171,1
Ali Group,19720.03590279593,19720.03590279593,1
Ali PLC,28903.439585419364,28903.439585419364,1
Ali Sons and,19008.85022250623,19008.85022250623,1
"Ali and Chambers, Dawson",11508.817403538618,11508.817403538618,1
"Ali and Cox Johnson,",40115.17117856307,40115.17117856307,1
Ali and Sons,3973.147036905831,3973.147036905831,1
"Ali and Vargas Montes,",27852.696827381293,27852.696827381293,1
"Ali, Cooper Gilbert and",24297.27054642948,24297.27054642948,1
Ali-Adams,48015.58132683087,48015.58132683087,1
Ali-Baird,13936.983518440633,13936.983518440633,1
Ali-Byrd,49384.18296061201,98768.36592122402,2
Ali-Harris,26999.38083224411,26999.38083224411,1
Ali-James,17716.573980871726,17716.573980871726,1
Ali-Marsh,10730.44047050082,21460.88094100164,2
Ali-Warren,37400.3340007884,37400.3340007884,1
"Allen Baker, Ross and",37801.88929785128,75603.77859570256,2
"Allen Black, and Collins",39325.20174327928,39325.20174327928,1
"Allen Campbell, and Hurst",1583.377556893991,1583.377556893991,1
"Allen Carney and Heath,",28848.271223757503,28848.271223757503,1
"Allen Castro and Hill,",30204.029636620657,30204.029636620657,1
"Allen Davis Todd, and",24101.200126685853,48202.40025337171,2
"Allen Decker Taylor, and",42029.95578856724,42029.95578856724,1
"Allen Garcia and Wolf,",25702.29961020404,25702.29961020404,1
"Allen Garcia, Johnson and",9728.726254102306,9728.726254102306,1
"Allen Gonzales and Hill,",45086.93284653263,45086.93284653263,1
Allen Group,29641.286663268424,296412.86663268425,10
"Allen Harrington Grant, and",22053.97815066541,22053.97815066541,1
"Allen Hurst, Gonzalez and",6640.904583334717,6640.904583334717,1
Allen Inc,25992.333198948032,207938.66559158426,8
"Allen Johnson, Meyers and",38891.28740136122,38891.28740136122,1
Allen LLC,12516.965971493375,75101.79582896025,6
Allen Ltd,27824.276391506883,222594.21113205506,8
"Allen Orr, and Frye",27475.62082582691,27475.62082582691,1
Allen PLC,22377.779834164736,201400.01850748263,9
"Allen Parker and Estes,",12448.688521969914,12448.688521969914,1
"Allen Payne, Hamilton and",7555.249689822436,7555.249689822436,1
"Allen Pearson and Kaiser,",31478.823232108585,31478.823232108585,1
"Allen Pitts, Bryan and",44175.662832482354,44175.662832482354,1
"Allen Rodriguez, and Stewart",23090.34651992421,46180.69303984842,2
Allen Sons and,39697.637312281855,39697.637312281855,1
"Allen Sparks and Soto,",30406.91891749705,30406.91891749705,1
"Allen Stanley, Woods and",10994.08164285203,10994.08164285203,1
"Allen Thompson, and Mcdonald",49749.74278096646,49749.74278096646,1
"Allen Watson Nguyen, and",17961.677802795915,35923.35560559183,2
"Allen Watson and Robinson,",18144.5109527321,18144.5109527321,1
"Allen and Bell, Bell",15894.562677000213,15894.562677000213,1
"Allen and Blackwell Morgan,",11689.465868441142,11689.465868441142,1
"Allen and Decker, Gonzales",13080.328422101446,13080.328422101446,1
"Allen and Duncan Wright,",32530.965624644094,32530.965624644094,1
"Allen and Gray, Scott",7860.763929963256,7860.763929963256,1
"Allen and Ho Wheeler,",35700.69481734484,35700.69481734484,1
"Allen and Hodge Williams,",49225.84551000699,49225.84551000699,1
"Allen and Holmes Schmidt,",46444.961003215416,46444.961003215416,1
"Allen and Holt, Ford",11138.86414144602,11138.86414144602,1
"Allen and Kelly Garrett,",38072.72191134553,38072.72191134553,1
"Allen and Moore Holmes,",38385.72801169104,38385.72801169104,1
"Allen and Page Graves,",14911.494399817366,14911.494399817366,1
"Allen and Smith Tran,",33969.18160341364,33969.18160341364,1
Allen and Sons,27112.858909090883,81338.57672727265,3
"Allen and Taylor, Matthews",8088.27127050805,8088.27127050805,1
"Allen and Valdez, Cantrell",3937.446413768994,3937.446413768994,1
"Allen and Warren Johnson,",17432.584298214664,17432.584298214664,1
"Allen and Wilson Rollins,",48564.86188967814,48564.86188967814,1
"Allen, Cantu Orozco and",39835.72629138816,39835.72629138816,1
"Allen, Chaney Rice and",24874.74569758429,24874.74569758429,1
"Allen, Cross and Collins",39691.59854497796,79383.19708995592,2
"Allen, Davies and Mcintyre",34612.995379515145,34612.995379515145,1
"Allen, Frank Moore and",34093.450114743195,34093.450114743195,1
"Allen, Harrell Schmidt and",21085.72932062217,21085.72932062217,1
"Allen, Jackson and Brown",44859.99185909337,44859.99185909337,1
"Allen, Jackson and Walker",14310.077356406444,14310.077356406444,1
"Allen, Jenkins Mcknight and",4909.021893221189,4909.021893221189,1
"Allen, Johns and Holland",19210.033245868293,19210.033245868293,1
"Allen, Johnson and Cooper",6242.868471515046,6242.868471515046,1
"Allen, Miller and Reed",28090.02566161433,28090.02566161433,1
"Allen, Quinn Mitchell and",4360.795860611728,4360.795860611728,1
"Allen, Turner and Allen",15023.330023686907,15023.330023686907,1
"Allen, Wall and Wade",2541.1396626759592,2541.1396626759592,1
"Allen, Williams and Phillips",26612.008450387897,26612.008450387897,1
"Allen, and Barnes Smith",42951.1685218248,42951.1685218248,1
"Allen, and Blackwell Taylor",27731.518693698574,55463.03738739715,2
"Allen, and Fischer Richardson",16231.990151075104,16231.990151075104,1
"Allen, and Jackson Harrell",7773.535570546508,7773.535570546508,1
"Allen, and Jensen Hurley",38867.029219458505,38867.029219458505,1
"Allen, and Parker Lynch",17077.983086516724,17077.983086516724,1
"Allen, and Rodriguez Randolph",45226.35875974605,45226.35875974605,1
"Allen, and Velasquez Wilcox",10986.840498436191,10986.840498436191,1
Allen-Allen,32.626842628800205,32.626842628800205,1
Allen-Anderson,37851.98601473204,37851.98601473204,1
Allen-Austin,16253.357586680208,16253.357586680208,1
Allen-Baker,16931.50819124201,33863.01638248402,2
Allen-Bond,4676.292278810419,4676.292278810419,1
Allen-Brown,12278.37622339571,24556.75244679142,2
Allen-Byrd,7980.41021938764,7980.41021938764,1
Allen-Campbell,47863.02391959248,47863.02391959248,1
Allen-Cherry,11624.314808842568,11624.314808842568,1
Allen-Cooke,9949.006707747638,9949.006707747638,1
Allen-Copeland,11416.336227479263,11416.336227479263,1
Allen-Cowan,41859.308950545295,41859.308950545295,1
Allen-Crawford,28065.605375222614,28065.605375222614,1
Allen-Cunningham,42499.4729541522,42499.4729541522,1
Allen-Davenport,12473.486298468282,12473.486298468282,1
Allen-Deleon,19013.672578215672,19013.672578215672,1
Allen-Duran,24712.63856746761,24712.63856746761,1
Allen-Evans,46853.54700224952,46853.54700224952,1
Allen-Ferguson,9818.957977737597,9818.957977737597,1
Allen-Fisher,29880.8107974746,59761.6215949492,2
Allen-Ford,4478.272056186765,4478.272056186765,1
Allen-Foster,17311.64576448347,17311.64576448347,1
Allen-French,30351.123435172896,30351.123435172896,1
Allen-Garcia,34771.42408224989,34771.42408224989,1
Allen-Gomez,47988.08461875587,47988.08461875587,1
Allen-Gray,50189.232368190336,100378.46473638067,2
Allen-Hall,16252.002188145801,32504.004376291603,2
Allen-Hernandez,48761.16796765754,48761.16796765754,1
Allen-Hill,16731.41934103023,16731.41934103023,1
Allen-Hoffman,30672.80428108192,30672.80428108192,1
Allen-Holland,38982.34512463429,77964.69024926858,2
Allen-Horn,9831.1117476649,9831.1117476649,1
Allen-Horne,32066.23629575008,32066.23629575008,1
Allen-Howell,4345.9970429152345,4345.9970429152345,1
Allen-James,1831.710329879088,1831.710329879088,1
Allen-Johnson,23296.488155218278,93185.95262087311,4
Allen-Jones,29627.887342260023,29627.887342260023,1
Allen-Leon,36258.22067197377,36258.22067197377,1
Allen-Lowery,43439.2864551016,43439.2864551016,1
Allen-Lynch,23511.666814070184,23511.666814070184,1
Allen-Marshall,1593.2745407453235,1593.2745407453235,1
Allen-Mcguire,20855.89823481401,20855.89823481401,1
Allen-Mckee,1419.3595254683405,1419.3595254683405,1
Allen-Moore,28680.412390152,57360.824780304,2
Allen-Morales,1144.381713508432,1144.381713508432,1
Allen-Mueller,40389.99519630005,80779.9903926001,2
Allen-Newton,1210.0816356532562,1210.0816356532562,1
Allen-Nguyen,32923.6902858936,32923.6902858936,1
Allen-Ortiz,12239.539895264268,12239.539895264268,1
Allen-Parrish,23569.42117630321,23569.42117630321,1
Allen-Perez,26373.324073209278,52746.648146418556,2
Allen-Powers,25939.74170668979,25939.74170668979,1
Allen-Price,30500.144018311967,61000.28803662393,2
Allen-Ramos,3945.23598809606,3945.23598809606,1
Allen-Rice,26718.27261285043,26718.27261285043,1
Allen-Rich,39960.48397751684,39960.48397751684,1
Allen-Robertson,8531.685323848684,8531.685323848684,1
Allen-Rodriguez,30002.31460752249,30002.31460752249,1
Allen-Russell,745.2879769613587,745.2879769613587,1
Allen-Sawyer,3468.949725677517,3468.949725677517,1
Allen-Scott,26776.27728891268,53552.55457782536,2
Allen-Smith,3918.9173205824654,7837.834641164931,2
Allen-Spence,46320.14374741501,46320.14374741501,1
Allen-Spencer,10256.476918729835,10256.476918729835,1
Allen-Sullivan,14406.331523299365,14406.331523299365,1
Allen-Taylor,10574.763617793682,10574.763617793682,1
Allen-Torres,36480.587596194346,36480.587596194346,1
Allen-Tucker,42596.80097870932,42596.80097870932,1
Allen-Tyler,16971.177510971425,16971.177510971425,1
Allen-Wallace,586.5535687554365,586.5535687554365,1
Allen-Walsh,32786.82136852234,65573.64273704468,2
Allen-Wilson,38052.13195949273,38052.13195949273,1
Allen-Wood,31488.02792018141,31488.02792018141,1
Allison LLC,33903.85295232248,67807.70590464496,2
Allison Ltd,37599.10324500879,112797.30973502636,3
Allison PLC,15593.004976999677,15593.004976999677,1
"Allison Price Williams, and",49795.37463070735,49795.37463070735,1
"Allison Rodgers Sullivan, and",957.4506390118452,957.4506390118452,1
"Allison Strong and Nixon,",4812.023314971754,4812.023314971754,1
"Allison, and Cruz Moore",35576.589360626385,35576.589360626385,1
Allison-Bailey,34492.310633695,34492.310633695,1
Allison-Black,39778.59157370539,39778.59157370539,1
Allison-Cameron,38578.53614823904,38578.53614823904,1
Allison-Moore,35149.37550604961,35149.37550604961,1
Allison-Walters,15048.827858026134,15048.827858026134,1
Allison-Williams,33653.64983287103,33653.64983287103,1
Alvarado Inc,25766.572905550012,77299.71871665004,3
Alvarado LLC,31343.886470199293,156719.43235099647,5
"Alvarado Mcmahon and Guerra,",4955.957876138896,4955.957876138896,1
Alvarado PLC,30875.486946821533,92626.4608404646,3
"Alvarado Richard and Brown,",14949.394660410511,14949.394660410511,1
"Alvarado Sullivan Miller, and",33378.64229368837,33378.64229368837,1
